
%%%%%%%%%%%%%%%%%%%%%%%%%%%%% generated-start %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

    setSharedVar('simvma_armModelDef_000000', am_000000)
    setSharedVar('simvma_armModelDef_000001', am_000001)
    setSharedVar('simvma_armModelDef_000010', am_000010)
    setSharedVar('simvma_armModelDef_000011', am_000011)
    setSharedVar('simvma_armModelDef_000100', am_000100)
    setSharedVar('simvma_armModelDef_000101', am_000101)
    setSharedVar('simvma_armModelDef_000110', am_000110)
    setSharedVar('simvma_armModelDef_000111', am_000111)
    setSharedVar('simvma_armModelDef_001000', am_001000)
    setSharedVar('simvma_armModelDef_001001', am_001001)
    setSharedVar('simvma_armModelDef_001010', am_001010)
    setSharedVar('simvma_armModelDef_001011', am_001011)
    setSharedVar('simvma_armModelDef_001100', am_001100)
    setSharedVar('simvma_armModelDef_001101', am_001101)
    setSharedVar('simvma_armModelDef_001110', am_001110)
    setSharedVar('simvma_armModelDef_001111', am_001111)
    setSharedVar('simvma_armModelDef_010000', am_010000)
    setSharedVar('simvma_armModelDef_010001', am_010001)
    setSharedVar('simvma_armModelDef_010010', am_010010)
    setSharedVar('simvma_armModelDef_010011', am_010011)
    setSharedVar('simvma_armModelDef_010100', am_010100)
    setSharedVar('simvma_armModelDef_010101', am_010101)
    setSharedVar('simvma_armModelDef_010110', am_010110)
    setSharedVar('simvma_armModelDef_010111', am_010111)
    setSharedVar('simvma_armModelDef_011000', am_011000)
    setSharedVar('simvma_armModelDef_011001', am_011001)
    setSharedVar('simvma_armModelDef_011010', am_011010)
    setSharedVar('simvma_armModelDef_011011', am_011011)
    setSharedVar('simvma_armModelDef_011100', am_011100)
    setSharedVar('simvma_armModelDef_011101', am_011101)
    setSharedVar('simvma_armModelDef_011110', am_011110)
    setSharedVar('simvma_armModelDef_011111', am_011111)
    setSharedVar('simvma_armModelDef_100000', am_100000)
    setSharedVar('simvma_armModelDef_100001', am_100001)
    setSharedVar('simvma_armModelDef_100010', am_100010)
    setSharedVar('simvma_armModelDef_100011', am_100011)
    setSharedVar('simvma_armModelDef_100100', am_100100)
    setSharedVar('simvma_armModelDef_100101', am_100101)
    setSharedVar('simvma_armModelDef_100110', am_100110)
    setSharedVar('simvma_armModelDef_100111', am_100111)
    setSharedVar('simvma_armModelDef_101000', am_101000)
    setSharedVar('simvma_armModelDef_101001', am_101001)
    setSharedVar('simvma_armModelDef_101010', am_101010)
    setSharedVar('simvma_armModelDef_101011', am_101011)
    setSharedVar('simvma_armModelDef_101100', am_101100)
    setSharedVar('simvma_armModelDef_101101', am_101101)
    setSharedVar('simvma_armModelDef_101110', am_101110)
    setSharedVar('simvma_armModelDef_101111', am_101111)
    setSharedVar('simvma_armModelDef_110000', am_110000)
    setSharedVar('simvma_armModelDef_110001', am_110001)
    setSharedVar('simvma_armModelDef_110010', am_110010)
    setSharedVar('simvma_armModelDef_110011', am_110011)
    setSharedVar('simvma_armModelDef_110100', am_110100)
    setSharedVar('simvma_armModelDef_110101', am_110101)
    setSharedVar('simvma_armModelDef_110110', am_110110)
    setSharedVar('simvma_armModelDef_110111', am_110111)
    setSharedVar('simvma_armModelDef_111000', am_111000)
    setSharedVar('simvma_armModelDef_111001', am_111001)
    setSharedVar('simvma_armModelDef_111010', am_111010)
